"";"ID";"REGION";"AGE";"SEXE";"ENFANTS";"DIPLOME";"CLASSE";"data_ech_valeurs"
"192327";192327;6;35;"F";0;2;"A";270
"356474";356474;6;55;"F";1;1;"B";241
"736259";736259;6;50;"M";1;2;"C";230
"982783";982783;6;65;"M";3;1;"A";223
"946253";946253;6;40;"F";3;3;"A";NA
"502087";502087;6;20;"F";0;1;"B";204
"423527";423527;6;50;"M";3;1;"A";221
"435518";435518;6;25;"F";0;4;"A";260
"570704";570704;6;65;"F";4;1;"C";256
"38980";38980;6;55;"M";0;3;"B";234
"127154";127154;6;55;"M";2;2;"A";215
"557742";557742;6;50;"F";3;2;"B";272
"877428";877428;6;50;"F";2;3;"C";275
"991185";991185;6;20;"F";0;2;"C";264
"166907";166907;6;20;"F";0;3;"A";285
"809295";809295;6;65;"F";0;2;"A";236
"863303";863303;6;25;"M";0;2;"A";189
"549709";549709;6;65;"M";2;2;"B";242
"332108";332108;6;30;"M";1;2;"A";233
"933278";933278;6;35;"M";1;2;"B";265
"518127";518127;6;20;"F";0;3;"A";264
"847129";847129;6;35;"M";0;4;"A";268
"48729";48729;6;45;"M";3;4;"A";273
"923462";923462;6;55;"F";3;1;"A";208
"223475";223475;6;35;"F";1;3;"A";264
"441343";441343;6;20;"F";0;3;"A";277
"479827";479827;6;55;"M";3;2;"B";234
"207361";207361;6;40;"M";1;4;"A";228
"334221";334221;6;35;"F";1;1;"B";235
"685167";685167;6;50;"F";2;3;"A";253
"573853";573853;6;35;"M";2;2;"B";245
"194992";194992;6;65;"F";3;1;"B";276
"321753";321753;6;25;"M";1;2;"B";222
"933147";933147;6;45;"F";2;2;"A";236
"349718";349718;6;40;"M";3;3;"B";238
"929338";929338;6;30;"F";0;2;"B";275
"928057";928057;6;35;"M";0;2;"C";186
"374848";374848;6;30;"M";0;3;"A";254
"237724";237724;6;65;"F";0;2;"B";248
"301301";301301;6;45;"M";3;1;"C";212
"342373";342373;6;60;"M";2;2;"B";233
"703862";703862;6;65;"M";2;1;"C";212
"202983";202983;6;30;"M";0;3;"B";223
"898394";898394;6;65;"M";5;1;"B";236
"962005";962005;6;35;"F";2;2;"A";249
"861971";861971;6;30;"F";3;3;"B";262
"142167";142167;6;50;"F";5;1;"C";225
"394151";394151;6;60;"F";2;1;"C";204
"815621";815621;6;45;"F";0;1;"C";203
"955794";955794;6;25;"M";0;4;"A";217
"393810";393810;6;45;"M";1;2;"B";216
"148483";148483;6;20;"M";0;3;"B";241
"871759";871759;6;55;"M";3;4;"C";218
"178338";178338;6;35;"M";2;1;"B";231
"654697";654697;6;50;"M";2;2;"B";253
"43510";43510;6;65;"F";0;1;"C";228
"993666";993666;6;35;"M";1;2;"A";209
"860863";860863;6;20;"F";0;3;"B";287
"418220";418220;6;60;"M";1;1;"A";236
"337123";337123;6;25;"M";0;4;"A";255
"318635";318635;6;30;"F";1;3;"A";283
"629319";629319;6;65;"F";0;3;"B";246
"736360";736360;6;40;"M";3;1;"A";195
"315010";315010;6;65;"F";1;3;"B";263
"65519";65519;6;30;"F";0;4;"A";271
"647771";647771;6;35;"M";2;1;"A";183
"588046";588046;6;60;"M";2;3;"B";200
"990742";990742;6;35;"F";2;2;"A";239
"687463";687463;6;25;"F";0;4;"A";274
"837267";837267;6;25;"F";0;3;"A";228
"718412";718412;6;50;"F";2;4;"B";253
"187153";187153;6;60;"M";2;1;"A";225
"245614";245614;6;20;"M";0;1;"A";238
"142170";142170;6;40;"M";3;1;"B";211
"36903";36903;6;65;"F";2;1;"B";238
"374772";374772;6;55;"M";0;1;"B";230
"996505";996505;6;60;"M";2;2;"B";242
"174225";174225;6;55;"F";2;3;"A";277
"610509";610509;6;45;"F";3;1;"B";256
"108919";108919;6;35;"M";2;2;"A";243
"179857";179857;6;60;"F";0;2;"A";229
"179798";179798;6;40;"F";3;3;"B";259
"832481";832481;6;25;"M";1;2;"A";207
"344468";344468;6;50;"M";3;1;"A";179
"891616";891616;6;50;"F";3;1;"B";244
"432058";432058;6;65;"F";6;1;"B";239
"966128";966128;6;35;"M";1;2;"B";250
"897014";897014;6;25;"F";0;4;"A";260
"57831";57831;6;35;"M";2;4;"B";272
"645045";645045;6;30;"F";0;4;"A";245
"177862";177862;6;55;"F";3;3;"A";301
"961811";961811;6;30;"M";0;2;"B";224
"278202";278202;6;40;"F";1;3;"B";248
"642921";642921;6;45;"M";4;1;"B";265
"455716";455716;6;30;"F";0;3;"B";249
"519965";519965;6;40;"M";1;1;"B";232
"246893";246893;6;60;"M";1;3;"A";276
"736336";736336;6;20;"F";0;2;"A";262
"118749";118749;6;20;"F";0;3;"A";264
"146492";146492;6;55;"F";3;1;"A";218
"502575";502575;6;25;"F";0;3;"B";282
"120329";120329;6;30;"M";2;2;"B";276
"673806";673806;6;50;"F";4;2;"C";259
"446050";446050;6;35;"M";2;3;"A";253
"189680";189680;6;40;"F";2;1;"A";242
"17030";17030;6;20;"F";0;2;"C";252
"232223";232223;6;45;"F";1;1;"B";252
"555702";555702;6;35;"F";0;1;"B";246
"355864";355864;6;30;"F";1;3;"B";270
"555140";555140;6;40;"F";0;3;"C";241
"385711";385711;6;55;"F";2;2;"A";281
"161451";161451;6;45;"M";2;2;"A";188
"551702";551702;6;30;"M";2;3;"C";232
"332582";332582;6;40;"F";2;3;"A";244
"164648";164648;6;35;"M";1;2;"A";236
"168166";168166;6;20;"M";0;1;"A";257
"720976";720976;6;60;"F";4;1;"C";231
"253565";253565;6;30;"F";0;2;"A";274
"64342";64342;6;45;"F";1;4;"B";287
"552033";552033;6;20;"F";0;3;"B";241
"521931";521931;6;50;"M";1;2;"B";203
"442296";442296;6;40;"M";0;2;"A";248
"722515";722515;6;20;"M";0;2;"B";246
"335574";335574;6;65;"F";0;1;"B";245
"377668";377668;6;40;"F";1;1;"B";247
"667340";667340;6;50;"F";1;2;"C";249
"979878";979878;6;35;"M";0;3;"B";242
"310943";310943;6;55;"M";2;2;"A";215
"37127";37127;6;60;"F";2;3;"A";318
"967588";967588;6;60;"M";2;1;"A";NA
"874012";874012;6;25;"M";0;2;"B";251
"147748";147748;6;60;"M";0;1;"B";206
"11901";11901;6;45;"F";2;3;"A";232
"686032";686032;6;35;"M";4;2;"A";246
"202018";202018;6;50;"F";3;1;"A";256
"197512";197512;6;20;"F";0;3;"C";285
"212314";212314;6;60;"M";2;3;"B";248
"574179";574179;6;40;"M";3;2;"B";222
"201364";201364;6;20;"F";0;1;"A";222
"243656";243656;6;35;"M";3;3;"B";251
"962718";962718;6;45;"M";5;3;"C";247
"28339";28339;6;40;"M";0;3;"B";225
"685170";685170;6;45;"F";1;1;"B";226
"104981";104981;6;25;"F";0;2;"B";257
"843015";843015;6;45;"M";0;2;"C";259
"885868";885868;6;30;"M";0;4;"A";225
"180703";180703;6;25;"F";0;1;"B";242
"545684";545684;6;55;"M";2;1;"C";160
"907701";907701;6;35;"F";2;3;"A";264
"910353";910353;6;65;"F";1;1;"C";217
"35710";35710;6;25;"F";0;4;"A";241
"640564";640564;6;65;"F";2;1;"B";195
"196495";196495;6;25;"M";0;3;"B";221
"271191";271191;6;40;"F";2;2;"B";271
"993135";993135;6;40;"F";2;4;"C";309
"101349";101349;6;65;"M";2;1;"C";236
"608286";608286;6;55;"F";6;4;"A";271
"984723";984723;6;20;"F";0;3;"B";252
"317299";317299;6;40;"F";2;1;"C";229
"321625";321625;6;60;"M";3;3;"C";267
"834983";834983;6;65;"M";2;3;"B";240
"571753";571753;6;45;"F";1;1;"A";249
"117839";117839;6;65;"M";2;1;"B";208
"956463";956463;6;30;"M";0;2;"B";244
"407817";407817;6;25;"F";0;3;"A";265
"749901";749901;6;20;"M";0;2;"B";234
"665755";665755;6;25;"F";0;1;"C";232
"436241";436241;6;30;"F";1;3;"B";275
"385327";385327;6;65;"M";3;2;"B";225
"550075";550075;6;30;"F";1;2;"B";265
"693290";693290;6;40;"F";4;4;"A";264
"533769";533769;6;50;"M";0;1;"B";207
"596943";596943;6;55;"M";2;4;"A";247
"443783";443783;6;60;"F";3;3;"A";219
"491098";491098;6;60;"M";0;1;"C";202
"337772";337772;6;20;"M";0;1;"B";217
"277288";277288;6;55;"F";1;2;"C";222
"608843";608843;6;50;"M";2;3;"A";NA
"352020";352020;6;35;"M";2;2;"A";224
"157551";157551;6;20;"F";0;3;"A";267
"901787";901787;6;65;"F";3;3;"B";238
"224170";224170;6;25;"M";0;1;"A";225
"140160";140160;6;65;"F";4;1;"A";253
"1695";1695;6;40;"M";3;3;"B";267
"712010";712010;6;65;"M";2;1;"B";216
"136999";136999;6;60;"F";2;4;"B";258
"241068";241068;6;25;"M";0;2;"B";262
"189967";189967;6;55;"M";1;3;"A";258
"508318";508318;6;35;"F";1;2;"B";253
"32436";32436;6;65;"F";3;3;"B";272
"708060";708060;6;50;"F";0;1;"A";237
"668589";668589;6;35;"M";0;2;"B";214
"114438";114438;6;50;"F";2;1;"A";245
"497791";497791;6;30;"F";1;4;"C";290
"407754";407754;6;60;"M";3;3;"A";228
"26338";26338;6;45;"M";1;3;"B";219
"658312";658312;6;25;"M";0;4;"A";259
"174695";174695;6;35;"M";1;2;"B";214
"31125";31125;6;50;"F";3;1;"B";300
"726092";726092;6;25;"F";0;1;"B";212
"936898";936898;6;20;"F";0;3;"B";268
"792252";792252;6;20;"F";0;3;"A";251
"865439";865439;6;60;"M";1;2;"A";273
"901442";901442;6;55;"F";2;1;"B";238
"949353";949353;6;45;"M";2;1;"B";246
"33806";33806;6;65;"M";2;1;"A";190
"418179";418179;6;50;"F";2;1;"A";262
"58032";58032;6;20;"M";0;2;"A";245
"877700";877700;6;30;"F";0;4;"A";267
"604889";604889;6;65;"F";1;2;"B";229
"651860";651860;6;30;"M";2;2;"A";250
"165065";165065;6;60;"M";0;3;"B";232
"395700";395700;6;25;"M";1;3;"A";229
"113326";113326;6;65;"M";1;4;"B";282
"443994";443994;6;50;"F";1;1;"B";261
"515947";515947;6;25;"F";0;2;"B";244
"281773";281773;6;35;"F";1;2;"B";211
"313407";313407;6;45;"M";2;1;"A";246
"731795";731795;6;20;"F";0;1;"A";245
"134974";134974;6;55;"M";1;1;"B";228
"76549";76549;6;65;"M";2;3;"B";255
"574962";574962;6;55;"M";6;1;"A";229
"152853";152853;6;65;"F";1;3;"A";234
"272234";272234;6;35;"F";0;1;"C";237
"604909";604909;6;30;"F";0;2;"A";254
"759682";759682;6;35;"F";0;2;"A";263
"986936";986936;6;65;"F";0;2;"C";238
"983878";983878;6;45;"M";2;2;"A";218
"649186";649186;6;40;"M";3;2;"A";218
"682903";682903;6;20;"M";0;1;"A";230
"287983";287983;6;60;"M";0;3;"A";265
"583253";583253;6;30;"M";0;2;"B";220
"584066";584066;6;35;"M";3;3;"A";260
