"";"ID";"REGION";"AGE";"SEXE";"ENFANTS";"DIPLOME";"CLASSE";"data_ech_valeurs"
"298848";298848;4;60;"M";6;2;"C";221
"128837";128837;4;55;"F";4;1;"A";245
"937638";937638;4;30;"F";2;1;"A";269
"922597";922597;4;35;"F";2;2;"A";252
"399117";399117;4;30;"M";2;1;"A";193
"914152";914152;4;50;"F";1;3;"B";254
"630695";630695;4;40;"F";1;3;"A";238
"780";780;4;55;"F";3;1;"B";219
"603584";603584;4;40;"M";2;2;"B";226
"207411";207411;4;40;"F";0;3;"A";287
"243622";243622;4;60;"F";3;2;"A";276
"225567";225567;4;35;"M";1;4;"A";276
"351085";351085;4;55;"M";1;2;"C";268
"693867";693867;4;35;"F";0;2;"A";228
"491553";491553;4;30;"M";1;3;"A";249
"353256";353256;4;40;"M";3;2;"A";199
"307765";307765;4;65;"M";5;1;"A";213
"119294";119294;4;55;"F";2;4;"B";290
"433139";433139;4;35;"M";3;2;"B";210
"766128";766128;4;35;"F";1;3;"A";210
"340715";340715;4;20;"F";0;3;"B";250
"59899";59899;4;65;"F";3;2;"C";232
"800831";800831;4;35;"M";0;4;"A";208
"131184";131184;4;50;"F";1;2;"A";229
"273538";273538;4;65;"M";0;2;"A";171
"151311";151311;4;30;"F";0;2;"A";233
"942404";942404;4;20;"M";0;1;"A";226
"127189";127189;4;30;"F";0;3;"B";259
"161864";161864;4;30;"F";1;3;"A";250
"689060";689060;4;40;"M";1;3;"A";227
"476416";476416;4;35;"M";2;1;"B";199
"226225";226225;4;20;"M";0;2;"B";237
"998796";998796;4;20;"M";0;3;"A";238
"856019";856019;4;40;"F";4;1;"B";243
"456838";456838;4;60;"M";1;1;"A";221
"215537";215537;4;30;"F";0;2;"A";269
"237296";237296;4;40;"F";0;1;"B";189
"325831";325831;4;45;"M";3;3;"A";219
"994152";994152;4;40;"F";0;3;"A";242
"975896";975896;4;35;"M";1;1;"C";199
"171494";171494;4;55;"M";0;3;"C";251
"91565";91565;4;25;"M";0;2;"A";221
"110240";110240;4;25;"F";0;2;"A";234
"726543";726543;4;20;"F";0;3;"A";276
"854762";854762;4;35;"M";4;4;"A";270
"84797";84797;4;20;"M";0;2;"A";211
"662672";662672;4;25;"M";0;3;"B";203
"438692";438692;4;40;"F";4;3;"A";275
"135954";135954;4;45;"F";4;2;"C";266
"292693";292693;4;65;"F";2;2;"A";223
"398467";398467;5;55;"F";4;2;"B";216
"163752";163752;5;45;"M";2;1;"A";216
"774609";774609;5;65;"F";2;2;"C";247
"464005";464005;5;35;"M";1;3;"A";203
"268166";268166;5;55;"M";3;3;"A";198
"168770";168770;5;35;"F";2;2;"A";243
"352030";352030;5;55;"F";3;1;"A";259
"941619";941619;5;20;"M";0;3;"A";225
"346380";346380;5;50;"F";1;2;"A";234
"990851";990851;5;45;"F";0;4;"C";291
"763243";763243;5;35;"F";0;1;"A";224
"354294";354294;5;60;"F";3;2;"A";239
"168627";168627;5;50;"F";3;3;"B";246
"521883";521883;5;65;"F";5;1;"A";201
"325380";325380;5;60;"F";2;1;"B";220
"970344";970344;5;25;"F";0;2;"A";241
"400579";400579;5;30;"F";2;3;"A";253
"630249";630249;5;20;"F";0;3;"A";288
"280039";280039;5;45;"F";1;3;"A";259
"367630";367630;5;55;"F";3;1;"C";209
"387574";387574;5;25;"M";0;1;"A";198
"602155";602155;5;30;"M";0;3;"B";230
"194395";194395;5;55;"M";1;4;"A";249
"844337";844337;5;50;"F";2;2;"C";194
"452155";452155;5;55;"F";3;1;"B";207
"342983";342983;5;50;"M";1;2;"B";211
"698967";698967;5;50;"F";3;1;"C";174
"408280";408280;5;55;"M";2;1;"A";215
"559514";559514;5;50;"F";2;2;"B";222
"466498";466498;5;45;"M";3;3;"A";266
"852460";852460;5;50;"F";1;2;"A";226
"310192";310192;5;55;"F";4;1;"A";251
"559767";559767;5;35;"F";1;3;"B";240
"385861";385861;5;40;"M";3;1;"A";181
"629470";629470;5;55;"M";4;2;"A";240
"570351";570351;5;60;"M";3;1;"C";226
"839365";839365;5;45;"M";1;1;"A";210
"933892";933892;5;50;"F";4;2;"B";271
"730147";730147;5;35;"F";2;3;"B";227
"414236";414236;5;30;"M";0;1;"B";175
"24472";24472;5;35;"F";3;3;"A";280
"574914";574914;5;35;"F";2;1;"A";221
"445024";445024;5;40;"M";3;2;"A";202
"238185";238185;5;65;"F";0;2;"B";223
"785198";785198;5;30;"F";1;4;"A";309
"900421";900421;5;20;"F";0;3;"A";228
"24913";24913;5;40;"M";3;4;"C";240
"537320";537320;5;50;"F";1;3;"B";215
"708126";708126;5;45;"M";3;3;"A";251
"6740";6740;5;65;"F";1;1;"B";221
"503496";503496;6;60;"F";3;1;"C";257
"844265";844265;6;65;"M";0;3;"B";202
"650802";650802;6;55;"F";2;3;"B";257
"971525";971525;6;55;"M";2;1;"C";206
"613486";613486;6;35;"F";3;2;"A";233
"556556";556556;6;50;"M";1;4;"B";252
"401525";401525;6;60;"F";2;1;"A";236
"115066";115066;6;25;"F";0;3;"A";271
"257151";257151;6;55;"M";0;2;"A";236
"766568";766568;6;50;"F";3;1;"C";230
"706545";706545;6;35;"M";2;4;"C";228
"69405";69405;6;60;"M";3;1;"A";219
"317173";317173;6;50;"F";0;2;"C";258
"571742";571742;6;30;"F";0;4;"A";286
"317846";317846;6;65;"M";4;3;"B";214
"323695";323695;6;20;"M";0;2;"A";239
"461442";461442;6;40;"M";0;4;"A";274
"248596";248596;6;45;"F";2;1;"C";226
"426747";426747;6;35;"F";1;2;"B";264
"192767";192767;6;50;"M";1;1;"C";185
"154238";154238;6;30;"F";1;3;"B";223
"951258";951258;6;35;"F";3;2;"B";257
"483679";483679;6;40;"F";1;1;"B";196
"707218";707218;6;25;"M";0;2;"B";221
"860260";860260;6;45;"F";1;1;"A";231
"674519";674519;6;20;"F";0;3;"A";266
"92477";92477;6;20;"F";0;2;"B";224
"887005";887005;6;35;"F";2;1;"B";195
"417843";417843;6;50;"F";0;3;"B";264
"821870";821870;6;25;"F";0;3;"A";288
"562173";562173;6;50;"F";2;2;"B";246
"6828";6828;6;65;"F";2;3;"C";251
"711939";711939;6;40;"F";5;4;"B";267
"889457";889457;6;55;"F";2;1;"A";256
"930829";930829;6;40;"M";2;1;"A";197
"184049";184049;6;20;"F";0;2;"B";233
"179166";179166;6;25;"M";0;2;"A";168
"209214";209214;6;30;"M";0;2;"C";234
"553914";553914;6;65;"F";1;2;"B";261
"599353";599353;6;40;"F";2;3;"A";263
"962916";962916;6;20;"M";0;3;"B";215
"295420";295420;6;30;"F";2;1;"A";229
"852023";852023;6;35;"F";2;4;"B";234
"636541";636541;6;40;"F";1;3;"B";251
"178158";178158;6;40;"M";2;2;"A";208
"118726";118726;6;45;"F";1;3;"C";229
"652603";652603;6;20;"F";0;3;"B";261
"409612";409612;6;45;"F";5;3;"C";242
"41234";41234;6;55;"F";1;2;"B";249
"918592";918592;6;20;"M";1;1;"A";211
"40559";40559;7;35;"F";3;2;"B";243
"385519";385519;7;50;"M";1;4;"C";200
"635378";635378;7;50;"M";3;1;"C";186
"950481";950481;7;55;"F";2;1;"C";223
"163974";163974;7;65;"M";4;3;"B";210
"284071";284071;7;35;"F";1;1;"C";227
"242980";242980;7;45;"F";0;2;"B";250
"144877";144877;7;25;"M";0;4;"A";263
"883024";883024;7;30;"M";0;4;"A";263
"564416";564416;7;20;"F";0;3;"A";233
"764266";764266;7;60;"F";2;1;"C";189
"581744";581744;7;40;"F";1;3;"A";238
"428943";428943;7;25;"F";1;1;"C";207
"405821";405821;7;25;"F";1;2;"C";257
"902378";902378;7;40;"M";2;3;"C";231
"833517";833517;7;50;"M";3;3;"C";208
"351716";351716;7;30;"M";1;3;"A";290
"88436";88436;7;60;"M";2;1;"B";244
"482318";482318;7;65;"F";4;2;"A";225
"527279";527279;7;35;"M";0;2;"B";234
"895843";895843;7;45;"M";2;2;"A";218
"360622";360622;7;25;"M";0;2;"B";229
"918593";918593;7;30;"M";0;2;"B";244
"398775";398775;7;35;"M";3;2;"C";230
"986446";986446;7;30;"F";0;3;"B";252
"134133";134133;7;40;"M";0;1;"B";198
"962588";962588;7;45;"M";1;1;"B";175
"940046";940046;7;25;"F";0;1;"A";231
"546294";546294;7;25;"F";0;2;"C";267
"122094";122094;7;20;"F";0;2;"A";211
"205228";205228;7;45;"F";2;2;"C";226
"913198";913198;7;45;"M";2;1;"C";193
"91541";91541;7;65;"M";1;2;"C";255
"16117";16117;7;50;"F";1;1;"C";237
"876176";876176;7;55;"F";2;1;"B";218
"592003";592003;7;40;"F";1;2;"A";250
"427177";427177;7;45;"F";1;2;"C";233
"41015";41015;7;20;"M";0;3;"C";248
"342590";342590;7;20;"M";0;3;"A";212
"409277";409277;7;65;"M";3;2;"C";216
"24114";24114;7;50;"F";1;1;"C";227
"216279";216279;7;20;"M";0;3;"A";196
"217580";217580;7;65;"F";1;1;"B";225
"126787";126787;7;25;"F";0;1;"C";239
"720238";720238;7;40;"M";2;2;"C";222
"81554";81554;7;35;"F";2;2;"C";244
"869947";869947;7;60;"F";2;1;"A";233
"41852";41852;7;40;"M";1;3;"A";217
"496402";496402;7;25;"F";0;3;"C";272
"854451";854451;7;60;"M";4;2;"C";232
